time,profit
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
2672.000000,0.000000
4011.301391,35076.000000
4011.301391,35076.000000
4217.647845,37216.000000
4217.647845,37216.000000
4217.647845,37216.000000
4217.647845,37216.000000
4398.017854,37397.000000
4398.017854,37397.000000
4502.654354,37725.000000
4516.868978,38222.000000
4516.868978,38222.000000
4675.145784,38531.000000
4705.240286,38942.000000
4843.575159,38994.000000
4848.268175,39024.000000
4910.349873,39053.000000
4938.016894,39474.000000
5077.615740,40026.000000
5349.804068,40058.000000
5349.804068,40058.000000
5404.391120,40219.000000
5639.880378,40292.000000
5694.219971,40529.000000
5786.898098,40956.000000
5786.898098,40956.000000
5786.898098,40956.000000
5786.898098,40956.000000
6020.315130,41104.000000
6020.315130,41104.000000
6065.122888,41320.000000
6126.057464,41570.000000
6126.057464,41570.000000
6250.510781,41808.000000
6250.510781,41808.000000
6349.196517,41887.000000
6349.196517,41887.000000
6349.196517,41887.000000
6551.195576,41957.000000
6551.839251,42003.000000
6551.839251,42003.000000
6613.862473,42028.000000
7316.286296,42030.000000
7316.286296,42030.000000
7316.286296,42030.000000
